,annotations
4138,"(array([[21]], dtype=uint8), array([[83]], dtype=uint8), array([[633]], dtype=uint16), array([[374]], dtype=uint16), array([[123]], dtype=uint8), array(['04139.jpg'], dtype='<U9'))"
4139,"(array([[61]], dtype=uint8), array([[24]], dtype=uint8), array([[206]], dtype=uint8), array([[144]], dtype=uint8), array([[113]], dtype=uint8), array(['04140.jpg'], dtype='<U9'))"
4140,"(array([[5]], dtype=uint8), array([[1]], dtype=uint8), array([[701]], dtype=uint16), array([[350]], dtype=uint16), array([[184]], dtype=uint8), array(['04141.jpg'], dtype='<U9'))"
4141,"(array([[18]], dtype=uint8), array([[40]], dtype=uint8), array([[210]], dtype=uint8), array([[171]], dtype=uint8), array([[118]], dtype=uint8), array(['04142.jpg'], dtype='<U9'))"
4142,"(array([[8]], dtype=uint8), array([[103]], dtype=uint8), array([[464]], dtype=uint16), array([[254]], dtype=uint8), array([[171]], dtype=uint8), array(['04143.jpg'], dtype='<U9'))"
4143,"(array([[178]], dtype=uint8), array([[163]], dtype=uint8), array([[729]], dtype=uint16), array([[452]], dtype=uint16), array([[110]], dtype=uint8), array(['04144.jpg'], dtype='<U9'))"
4144,"(array([[11]], dtype=uint8), array([[192]], dtype=uint8), array([[555]], dtype=uint16), array([[373]], dtype=uint16), array([[128]], dtype=uint8), array(['04145.jpg'], dtype='<U9'))"
4145,"(array([[114]], dtype=uint8), array([[34]], dtype=uint8), array([[577]], dtype=uint16), array([[337]], dtype=uint16), array([[182]], dtype=uint8), array(['04146.jpg'], dtype='<U9'))"
4146,"(array([[31]], dtype=uint8), array([[158]], dtype=uint8), array([[602]], dtype=uint16), array([[373]], dtype=uint16), array([[122]], dtype=uint8), array(['04147.jpg'], dtype='<U9'))"
4147,"(array([[16]], dtype=uint8), array([[25]], dtype=uint8), array([[271]], dtype=uint16), array([[187]], dtype=uint8), array([[131]], dtype=uint8), array(['04148.jpg'], dtype='<U9'))"
4148,"(array([[19]], dtype=uint8), array([[82]], dtype=uint8), array([[560]], dtype=uint16), array([[337]], dtype=uint16), array([[33]], dtype=uint8), array(['04149.jpg'], dtype='<U9'))"
4149,"(array([[28]], dtype=uint8), array([[27]], dtype=uint8), array([[300]], dtype=uint16), array([[181]], dtype=uint8), array([[78]], dtype=uint8), array(['04150.jpg'], dtype='<U9'))"
4150,"(array([[47]], dtype=uint8), array([[145]], dtype=uint8), array([[608]], dtype=uint16), array([[366]], dtype=uint16), array([[181]], dtype=uint8), array(['04151.jpg'], dtype='<U9'))"
4151,"(array([[28]], dtype=uint8), array([[58]], dtype=uint8), array([[226]], dtype=uint8), array([[150]], dtype=uint8), array([[27]], dtype=uint8), array(['04152.jpg'], dtype='<U9'))"
4152,"(array([[23]], dtype=uint8), array([[9]], dtype=uint8), array([[641]], dtype=uint16), array([[352]], dtype=uint16), array([[183]], dtype=uint8), array(['04153.jpg'], dtype='<U9'))"
4153,"(array([[14]], dtype=uint8), array([[110]], dtype=uint8), array([[619]], dtype=uint16), array([[432]], dtype=uint16), array([[53]], dtype=uint8), array(['04154.jpg'], dtype='<U9'))"
4154,"(array([[85]], dtype=uint8), array([[106]], dtype=uint8), array([[356]], dtype=uint16), array([[292]], dtype=uint16), array([[15]], dtype=uint8), array(['04155.jpg'], dtype='<U9'))"
4155,"(array([[11]], dtype=uint8), array([[21]], dtype=uint8), array([[733]], dtype=uint16), array([[529]], dtype=uint16), array([[184]], dtype=uint8), array(['04156.jpg'], dtype='<U9'))"
4156,"(array([[10]], dtype=uint8), array([[20]], dtype=uint8), array([[256]], dtype=uint16), array([[171]], dtype=uint8), array([[90]], dtype=uint8), array(['04157.jpg'], dtype='<U9'))"
4157,"(array([[15]], dtype=uint8), array([[49]], dtype=uint8), array([[552]], dtype=uint16), array([[422]], dtype=uint16), array([[135]], dtype=uint8), array(['04158.jpg'], dtype='<U9'))"
4158,"(array([[21]], dtype=uint8), array([[63]], dtype=uint8), array([[577]], dtype=uint16), array([[324]], dtype=uint16), array([[150]], dtype=uint8), array(['04159.jpg'], dtype='<U9'))"
4159,"(array([[24]], dtype=uint8), array([[57]], dtype=uint8), array([[372]], dtype=uint16), array([[275]], dtype=uint16), array([[178]], dtype=uint8), array(['04160.jpg'], dtype='<U9'))"
4160,"(array([[127]], dtype=uint8), array([[166]], dtype=uint8), array([[947]], dtype=uint16), array([[559]], dtype=uint16), array([[89]], dtype=uint8), array(['04161.jpg'], dtype='<U9'))"
4161,"(array([[4]], dtype=uint8), array([[25]], dtype=uint8), array([[257]], dtype=uint16), array([[165]], dtype=uint8), array([[95]], dtype=uint8), array(['04162.jpg'], dtype='<U9'))"
4162,"(array([[23]], dtype=uint8), array([[31]], dtype=uint8), array([[238]], dtype=uint8), array([[140]], dtype=uint8), array([[70]], dtype=uint8), array(['04163.jpg'], dtype='<U9'))"
4163,"(array([[28]], dtype=uint8), array([[182]], dtype=uint8), array([[467]], dtype=uint16), array([[340]], dtype=uint16), array([[113]], dtype=uint8), array(['04164.jpg'], dtype='<U9'))"
4164,"(array([[107]], dtype=uint8), array([[70]], dtype=uint8), array([[550]], dtype=uint16), array([[318]], dtype=uint16), array([[130]], dtype=uint8), array(['04165.jpg'], dtype='<U9'))"
4165,"(array([[80]], dtype=uint8), array([[134]], dtype=uint8), array([[708]], dtype=uint16), array([[456]], dtype=uint16), array([[11]], dtype=uint8), array(['04166.jpg'], dtype='<U9'))"
4166,"(array([[19]], dtype=uint8), array([[175]], dtype=uint8), array([[1582]], dtype=uint16), array([[1081]], dtype=uint16), array([[81]], dtype=uint8), array(['04167.jpg'], dtype='<U9'))"
4167,"(array([[44]], dtype=uint8), array([[148]], dtype=uint8), array([[537]], dtype=uint16), array([[369]], dtype=uint16), array([[159]], dtype=uint8), array(['04168.jpg'], dtype='<U9'))"
4168,"(array([[10]], dtype=uint8), array([[41]], dtype=uint8), array([[289]], dtype=uint16), array([[174]], dtype=uint8), array([[128]], dtype=uint8), array(['04169.jpg'], dtype='<U9'))"
4169,"(array([[29]], dtype=uint8), array([[181]], dtype=uint8), array([[582]], dtype=uint16), array([[398]], dtype=uint16), array([[85]], dtype=uint8), array(['04170.jpg'], dtype='<U9'))"
4170,"(array([[116]], dtype=uint8), array([[159]], dtype=uint8), array([[788]], dtype=uint16), array([[530]], dtype=uint16), array([[32]], dtype=uint8), array(['04171.jpg'], dtype='<U9'))"
4171,"(array([[145]], dtype=uint8), array([[97]], dtype=uint8), array([[880]], dtype=uint16), array([[638]], dtype=uint16), array([[164]], dtype=uint8), array(['04172.jpg'], dtype='<U9'))"
4172,"(array([[161]], dtype=uint8), array([[54]], dtype=uint8), array([[1061]], dtype=uint16), array([[642]], dtype=uint16), array([[173]], dtype=uint8), array(['04173.jpg'], dtype='<U9'))"
4173,"(array([[34]], dtype=uint8), array([[52]], dtype=uint8), array([[226]], dtype=uint8), array([[157]], dtype=uint8), array([[175]], dtype=uint8), array(['04174.jpg'], dtype='<U9'))"
4174,"(array([[36]], dtype=uint8), array([[47]], dtype=uint8), array([[611]], dtype=uint16), array([[463]], dtype=uint16), array([[76]], dtype=uint8), array(['04175.jpg'], dtype='<U9'))"
4175,"(array([[218]], dtype=uint8), array([[500]], dtype=uint16), array([[1375]], dtype=uint16), array([[1061]], dtype=uint16), array([[18]], dtype=uint8), array(['04176.jpg'], dtype='<U9'))"
4176,"(array([[42]], dtype=uint8), array([[150]], dtype=uint8), array([[415]], dtype=uint16), array([[348]], dtype=uint16), array([[161]], dtype=uint8), array(['04177.jpg'], dtype='<U9'))"
4177,"(array([[89]], dtype=uint8), array([[120]], dtype=uint8), array([[562]], dtype=uint16), array([[316]], dtype=uint16), array([[182]], dtype=uint8), array(['04178.jpg'], dtype='<U9'))"
4178,"(array([[78]], dtype=uint8), array([[99]], dtype=uint8), array([[573]], dtype=uint16), array([[404]], dtype=uint16), array([[108]], dtype=uint8), array(['04179.jpg'], dtype='<U9'))"
4179,"(array([[96]], dtype=uint8), array([[151]], dtype=uint8), array([[599]], dtype=uint16), array([[449]], dtype=uint16), array([[65]], dtype=uint8), array(['04180.jpg'], dtype='<U9'))"
4180,"(array([[110]], dtype=uint8), array([[108]], dtype=uint8), array([[536]], dtype=uint16), array([[265]], dtype=uint16), array([[177]], dtype=uint8), array(['04181.jpg'], dtype='<U9'))"
4181,"(array([[72]], dtype=uint8), array([[267]], dtype=uint16), array([[2602]], dtype=uint16), array([[1813]], dtype=uint16), array([[58]], dtype=uint8), array(['04182.jpg'], dtype='<U9'))"
4182,"(array([[16]], dtype=uint8), array([[109]], dtype=uint8), array([[981]], dtype=uint16), array([[694]], dtype=uint16), array([[170]], dtype=uint8), array(['04183.jpg'], dtype='<U9'))"
4183,"(array([[1]], dtype=uint8), array([[1]], dtype=uint8), array([[240]], dtype=uint8), array([[99]], dtype=uint8), array([[125]], dtype=uint8), array(['04184.jpg'], dtype='<U9'))"
4184,"(array([[41]], dtype=uint8), array([[84]], dtype=uint8), array([[583]], dtype=uint16), array([[414]], dtype=uint16), array([[178]], dtype=uint8), array(['04185.jpg'], dtype='<U9'))"
4185,"(array([[37]], dtype=uint8), array([[216]], dtype=uint8), array([[746]], dtype=uint16), array([[502]], dtype=uint16), array([[8]], dtype=uint8), array(['04186.jpg'], dtype='<U9'))"
4186,"(array([[99]], dtype=uint8), array([[120]], dtype=uint8), array([[588]], dtype=uint16), array([[415]], dtype=uint16), array([[74]], dtype=uint8), array(['04187.jpg'], dtype='<U9'))"
4187,"(array([[34]], dtype=uint8), array([[112]], dtype=uint8), array([[961]], dtype=uint16), array([[686]], dtype=uint16), array([[121]], dtype=uint8), array(['04188.jpg'], dtype='<U9'))"
4188,"(array([[95]], dtype=uint8), array([[179]], dtype=uint8), array([[595]], dtype=uint16), array([[362]], dtype=uint16), array([[64]], dtype=uint8), array(['04189.jpg'], dtype='<U9'))"
4189,"(array([[16]], dtype=uint8), array([[102]], dtype=uint8), array([[621]], dtype=uint16), array([[423]], dtype=uint16), array([[10]], dtype=uint8), array(['04190.jpg'], dtype='<U9'))"
4190,"(array([[43]], dtype=uint8), array([[104]], dtype=uint8), array([[550]], dtype=uint16), array([[299]], dtype=uint16), array([[16]], dtype=uint8), array(['04191.jpg'], dtype='<U9'))"
4191,"(array([[173]], dtype=uint8), array([[62]], dtype=uint8), array([[546]], dtype=uint16), array([[349]], dtype=uint16), array([[102]], dtype=uint8), array(['04192.jpg'], dtype='<U9'))"
4192,"(array([[91]], dtype=uint8), array([[53]], dtype=uint8), array([[579]], dtype=uint16), array([[325]], dtype=uint16), array([[149]], dtype=uint8), array(['04193.jpg'], dtype='<U9'))"
4193,"(array([[16]], dtype=uint8), array([[25]], dtype=uint8), array([[638]], dtype=uint16), array([[466]], dtype=uint16), array([[78]], dtype=uint8), array(['04194.jpg'], dtype='<U9'))"
4194,"(array([[27]], dtype=uint8), array([[154]], dtype=uint8), array([[605]], dtype=uint16), array([[355]], dtype=uint16), array([[20]], dtype=uint8), array(['04195.jpg'], dtype='<U9'))"
4195,"(array([[117]], dtype=uint8), array([[323]], dtype=uint16), array([[972]], dtype=uint16), array([[794]], dtype=uint16), array([[164]], dtype=uint8), array(['04196.jpg'], dtype='<U9'))"
4196,"(array([[34]], dtype=uint8), array([[46]], dtype=uint8), array([[563]], dtype=uint16), array([[374]], dtype=uint16), array([[8]], dtype=uint8), array(['04197.jpg'], dtype='<U9'))"
4197,"(array([[209]], dtype=uint8), array([[290]], dtype=uint16), array([[875]], dtype=uint16), array([[590]], dtype=uint16), array([[130]], dtype=uint8), array(['04198.jpg'], dtype='<U9'))"
4198,"(array([[8]], dtype=uint8), array([[15]], dtype=uint8), array([[256]], dtype=uint16), array([[178]], dtype=uint8), array([[109]], dtype=uint8), array(['04199.jpg'], dtype='<U9'))"
4199,"(array([[16]], dtype=uint8), array([[62]], dtype=uint8), array([[243]], dtype=uint8), array([[161]], dtype=uint8), array([[118]], dtype=uint8), array(['04200.jpg'], dtype='<U9'))"
4200,"(array([[153]], dtype=uint8), array([[67]], dtype=uint8), array([[561]], dtype=uint16), array([[435]], dtype=uint16), array([[61]], dtype=uint8), array(['04201.jpg'], dtype='<U9'))"
4201,"(array([[56]], dtype=uint8), array([[117]], dtype=uint8), array([[474]], dtype=uint16), array([[266]], dtype=uint16), array([[141]], dtype=uint8), array(['04202.jpg'], dtype='<U9'))"
4202,"(array([[3]], dtype=uint8), array([[79]], dtype=uint8), array([[239]], dtype=uint8), array([[179]], dtype=uint8), array([[143]], dtype=uint8), array(['04203.jpg'], dtype='<U9'))"
4203,"(array([[27]], dtype=uint8), array([[73]], dtype=uint8), array([[635]], dtype=uint16), array([[425]], dtype=uint16), array([[80]], dtype=uint8), array(['04204.jpg'], dtype='<U9'))"
4204,"(array([[4]], dtype=uint8), array([[2]], dtype=uint8), array([[265]], dtype=uint16), array([[182]], dtype=uint8), array([[31]], dtype=uint8), array(['04205.jpg'], dtype='<U9'))"
4205,"(array([[21]], dtype=uint8), array([[172]], dtype=uint8), array([[666]], dtype=uint16), array([[519]], dtype=uint16), array([[172]], dtype=uint8), array(['04206.jpg'], dtype='<U9'))"
4206,"(array([[17]], dtype=uint8), array([[13]], dtype=uint8), array([[313]], dtype=uint16), array([[226]], dtype=uint8), array([[106]], dtype=uint8), array(['04207.jpg'], dtype='<U9'))"
4207,"(array([[81]], dtype=uint8), array([[1]], dtype=uint8), array([[447]], dtype=uint16), array([[275]], dtype=uint16), array([[65]], dtype=uint8), array(['04208.jpg'], dtype='<U9'))"
4208,"(array([[107]], dtype=uint8), array([[562]], dtype=uint16), array([[1913]], dtype=uint16), array([[1203]], dtype=uint16), array([[96]], dtype=uint8), array(['04209.jpg'], dtype='<U9'))"
4209,"(array([[56]], dtype=uint8), array([[114]], dtype=uint8), array([[338]], dtype=uint16), array([[323]], dtype=uint16), array([[180]], dtype=uint8), array(['04210.jpg'], dtype='<U9'))"
4210,"(array([[80]], dtype=uint8), array([[141]], dtype=uint8), array([[988]], dtype=uint16), array([[640]], dtype=uint16), array([[96]], dtype=uint8), array(['04211.jpg'], dtype='<U9'))"
4211,"(array([[1]], dtype=uint8), array([[7]], dtype=uint8), array([[270]], dtype=uint16), array([[183]], dtype=uint8), array([[65]], dtype=uint8), array(['04212.jpg'], dtype='<U9'))"
4212,"(array([[8]], dtype=uint8), array([[45]], dtype=uint8), array([[298]], dtype=uint16), array([[145]], dtype=uint8), array([[119]], dtype=uint8), array(['04213.jpg'], dtype='<U9'))"
4213,"(array([[23]], dtype=uint8), array([[63]], dtype=uint8), array([[227]], dtype=uint8), array([[165]], dtype=uint8), array([[119]], dtype=uint8), array(['04214.jpg'], dtype='<U9'))"
4214,"(array([[36]], dtype=uint8), array([[141]], dtype=uint8), array([[558]], dtype=uint16), array([[363]], dtype=uint16), array([[194]], dtype=uint8), array(['04215.jpg'], dtype='<U9'))"
4215,"(array([[30]], dtype=uint8), array([[81]], dtype=uint8), array([[274]], dtype=uint16), array([[163]], dtype=uint8), array([[8]], dtype=uint8), array(['04216.jpg'], dtype='<U9'))"
4216,"(array([[209]], dtype=uint8), array([[167]], dtype=uint8), array([[777]], dtype=uint16), array([[380]], dtype=uint16), array([[144]], dtype=uint8), array(['04217.jpg'], dtype='<U9'))"
4217,"(array([[43]], dtype=uint8), array([[117]], dtype=uint8), array([[561]], dtype=uint16), array([[278]], dtype=uint16), array([[59]], dtype=uint8), array(['04218.jpg'], dtype='<U9'))"
4218,"(array([[34]], dtype=uint8), array([[108]], dtype=uint8), array([[595]], dtype=uint16), array([[410]], dtype=uint16), array([[166]], dtype=uint8), array(['04219.jpg'], dtype='<U9'))"
4219,"(array([[111]], dtype=uint8), array([[31]], dtype=uint8), array([[554]], dtype=uint16), array([[305]], dtype=uint16), array([[146]], dtype=uint8), array(['04220.jpg'], dtype='<U9'))"
4220,"(array([[17]], dtype=uint8), array([[30]], dtype=uint8), array([[247]], dtype=uint8), array([[185]], dtype=uint8), array([[73]], dtype=uint8), array(['04221.jpg'], dtype='<U9'))"
4221,"(array([[17]], dtype=uint8), array([[67]], dtype=uint8), array([[307]], dtype=uint16), array([[236]], dtype=uint8), array([[121]], dtype=uint8), array(['04222.jpg'], dtype='<U9'))"
4222,"(array([[18]], dtype=uint8), array([[33]], dtype=uint8), array([[437]], dtype=uint16), array([[287]], dtype=uint16), array([[124]], dtype=uint8), array(['04223.jpg'], dtype='<U9'))"
4223,"(array([[17]], dtype=uint8), array([[152]], dtype=uint8), array([[476]], dtype=uint16), array([[367]], dtype=uint16), array([[6]], dtype=uint8), array(['04224.jpg'], dtype='<U9'))"
4224,"(array([[8]], dtype=uint8), array([[139]], dtype=uint8), array([[605]], dtype=uint16), array([[431]], dtype=uint16), array([[88]], dtype=uint8), array(['04225.jpg'], dtype='<U9'))"
4225,"(array([[51]], dtype=uint8), array([[77]], dtype=uint8), array([[2462]], dtype=uint16), array([[1622]], dtype=uint16), array([[145]], dtype=uint8), array(['04226.jpg'], dtype='<U9'))"
4226,"(array([[34]], dtype=uint8), array([[38]], dtype=uint8), array([[276]], dtype=uint16), array([[182]], dtype=uint8), array([[77]], dtype=uint8), array(['04227.jpg'], dtype='<U9'))"
4227,"(array([[11]], dtype=uint8), array([[47]], dtype=uint8), array([[270]], dtype=uint16), array([[155]], dtype=uint8), array([[181]], dtype=uint8), array(['04228.jpg'], dtype='<U9'))"
4228,"(array([[124]], dtype=uint8), array([[75]], dtype=uint8), array([[1069]], dtype=uint16), array([[673]], dtype=uint16), array([[168]], dtype=uint8), array(['04229.jpg'], dtype='<U9'))"
4229,"(array([[2]], dtype=uint8), array([[33]], dtype=uint8), array([[778]], dtype=uint16), array([[333]], dtype=uint16), array([[107]], dtype=uint8), array(['04230.jpg'], dtype='<U9'))"
4230,"(array([[14]], dtype=uint8), array([[28]], dtype=uint8), array([[605]], dtype=uint16), array([[489]], dtype=uint16), array([[179]], dtype=uint8), array(['04231.jpg'], dtype='<U9'))"
4231,"(array([[105]], dtype=uint8), array([[99]], dtype=uint8), array([[579]], dtype=uint16), array([[354]], dtype=uint16), array([[102]], dtype=uint8), array(['04232.jpg'], dtype='<U9'))"
4232,"(array([[96]], dtype=uint8), array([[66]], dtype=uint8), array([[453]], dtype=uint16), array([[392]], dtype=uint16), array([[116]], dtype=uint8), array(['04233.jpg'], dtype='<U9'))"
4233,"(array([[1]], dtype=uint8), array([[103]], dtype=uint8), array([[456]], dtype=uint16), array([[266]], dtype=uint16), array([[74]], dtype=uint8), array(['04234.jpg'], dtype='<U9'))"
4234,"(array([[23]], dtype=uint8), array([[65]], dtype=uint8), array([[637]], dtype=uint16), array([[307]], dtype=uint16), array([[116]], dtype=uint8), array(['04235.jpg'], dtype='<U9'))"
4235,"(array([[29]], dtype=uint8), array([[160]], dtype=uint8), array([[668]], dtype=uint16), array([[353]], dtype=uint16), array([[107]], dtype=uint8), array(['04236.jpg'], dtype='<U9'))"
4236,"(array([[143]], dtype=uint8), array([[99]], dtype=uint8), array([[1966]], dtype=uint16), array([[1497]], dtype=uint16), array([[20]], dtype=uint8), array(['04237.jpg'], dtype='<U9'))"
4237,"(array([[48]], dtype=uint8), array([[100]], dtype=uint8), array([[446]], dtype=uint16), array([[289]], dtype=uint16), array([[81]], dtype=uint8), array(['04238.jpg'], dtype='<U9'))"
4238,"(array([[84]], dtype=uint8), array([[38]], dtype=uint8), array([[585]], dtype=uint16), array([[429]], dtype=uint16), array([[118]], dtype=uint8), array(['04239.jpg'], dtype='<U9'))"
4239,"(array([[18]], dtype=uint8), array([[177]], dtype=uint8), array([[778]], dtype=uint16), array([[522]], dtype=uint16), array([[191]], dtype=uint8), array(['04240.jpg'], dtype='<U9'))"
4240,"(array([[58]], dtype=uint8), array([[140]], dtype=uint8), array([[1209]], dtype=uint16), array([[670]], dtype=uint16), array([[15]], dtype=uint8), array(['04241.jpg'], dtype='<U9'))"
4241,"(array([[349]], dtype=uint16), array([[88]], dtype=uint8), array([[2212]], dtype=uint16), array([[1429]], dtype=uint16), array([[147]], dtype=uint8), array(['04242.jpg'], dtype='<U9'))"
4242,"(array([[66]], dtype=uint8), array([[128]], dtype=uint8), array([[617]], dtype=uint16), array([[379]], dtype=uint16), array([[43]], dtype=uint8), array(['04243.jpg'], dtype='<U9'))"
4243,"(array([[139]], dtype=uint8), array([[172]], dtype=uint8), array([[690]], dtype=uint16), array([[431]], dtype=uint16), array([[2]], dtype=uint8), array(['04244.jpg'], dtype='<U9'))"
4244,"(array([[23]], dtype=uint8), array([[89]], dtype=uint8), array([[617]], dtype=uint16), array([[479]], dtype=uint16), array([[87]], dtype=uint8), array(['04245.jpg'], dtype='<U9'))"
4245,"(array([[66]], dtype=uint8), array([[141]], dtype=uint8), array([[739]], dtype=uint16), array([[427]], dtype=uint16), array([[66]], dtype=uint8), array(['04246.jpg'], dtype='<U9'))"
4246,"(array([[45]], dtype=uint8), array([[40]], dtype=uint8), array([[644]], dtype=uint16), array([[283]], dtype=uint16), array([[8]], dtype=uint8), array(['04247.jpg'], dtype='<U9'))"
4247,"(array([[18]], dtype=uint8), array([[1]], dtype=uint8), array([[442]], dtype=uint16), array([[225]], dtype=uint8), array([[124]], dtype=uint8), array(['04248.jpg'], dtype='<U9'))"
4248,"(array([[22]], dtype=uint8), array([[5]], dtype=uint8), array([[304]], dtype=uint16), array([[159]], dtype=uint8), array([[68]], dtype=uint8), array(['04249.jpg'], dtype='<U9'))"
4249,"(array([[28]], dtype=uint8), array([[84]], dtype=uint8), array([[453]], dtype=uint16), array([[282]], dtype=uint16), array([[45]], dtype=uint8), array(['04250.jpg'], dtype='<U9'))"
4250,"(array([[95]], dtype=uint8), array([[161]], dtype=uint8), array([[558]], dtype=uint16), array([[420]], dtype=uint16), array([[139]], dtype=uint8), array(['04251.jpg'], dtype='<U9'))"
4251,"(array([[62]], dtype=uint8), array([[145]], dtype=uint8), array([[450]], dtype=uint16), array([[422]], dtype=uint16), array([[7]], dtype=uint8), array(['04252.jpg'], dtype='<U9'))"
4252,"(array([[53]], dtype=uint8), array([[136]], dtype=uint8), array([[557]], dtype=uint16), array([[350]], dtype=uint16), array([[171]], dtype=uint8), array(['04253.jpg'], dtype='<U9'))"
4253,"(array([[8]], dtype=uint8), array([[63]], dtype=uint8), array([[496]], dtype=uint16), array([[281]], dtype=uint16), array([[159]], dtype=uint8), array(['04254.jpg'], dtype='<U9'))"
4254,"(array([[169]], dtype=uint8), array([[129]], dtype=uint8), array([[414]], dtype=uint16), array([[278]], dtype=uint16), array([[99]], dtype=uint8), array(['04255.jpg'], dtype='<U9'))"
4255,"(array([[7]], dtype=uint8), array([[10]], dtype=uint8), array([[385]], dtype=uint16), array([[353]], dtype=uint16), array([[100]], dtype=uint8), array(['04256.jpg'], dtype='<U9'))"
4256,"(array([[83]], dtype=uint8), array([[185]], dtype=uint8), array([[577]], dtype=uint16), array([[441]], dtype=uint16), array([[132]], dtype=uint8), array(['04257.jpg'], dtype='<U9'))"
4257,"(array([[14]], dtype=uint8), array([[16]], dtype=uint8), array([[609]], dtype=uint16), array([[461]], dtype=uint16), array([[76]], dtype=uint8), array(['04258.jpg'], dtype='<U9'))"
4258,"(array([[61]], dtype=uint8), array([[84]], dtype=uint8), array([[974]], dtype=uint16), array([[548]], dtype=uint16), array([[73]], dtype=uint8), array(['04259.jpg'], dtype='<U9'))"
4259,"(array([[36]], dtype=uint8), array([[52]], dtype=uint8), array([[372]], dtype=uint16), array([[218]], dtype=uint8), array([[78]], dtype=uint8), array(['04260.jpg'], dtype='<U9'))"
4260,"(array([[79]], dtype=uint8), array([[131]], dtype=uint8), array([[275]], dtype=uint16), array([[317]], dtype=uint16), array([[100]], dtype=uint8), array(['04261.jpg'], dtype='<U9'))"
4261,"(array([[25]], dtype=uint8), array([[33]], dtype=uint8), array([[483]], dtype=uint16), array([[243]], dtype=uint8), array([[105]], dtype=uint8), array(['04262.jpg'], dtype='<U9'))"
4262,"(array([[41]], dtype=uint8), array([[175]], dtype=uint8), array([[614]], dtype=uint16), array([[399]], dtype=uint16), array([[192]], dtype=uint8), array(['04263.jpg'], dtype='<U9'))"
4263,"(array([[44]], dtype=uint8), array([[71]], dtype=uint8), array([[594]], dtype=uint16), array([[416]], dtype=uint16), array([[58]], dtype=uint8), array(['04264.jpg'], dtype='<U9'))"
4264,"(array([[11]], dtype=uint8), array([[86]], dtype=uint8), array([[615]], dtype=uint16), array([[416]], dtype=uint16), array([[150]], dtype=uint8), array(['04265.jpg'], dtype='<U9'))"
4265,"(array([[23]], dtype=uint8), array([[161]], dtype=uint8), array([[619]], dtype=uint16), array([[458]], dtype=uint16), array([[30]], dtype=uint8), array(['04266.jpg'], dtype='<U9'))"
4266,"(array([[75]], dtype=uint8), array([[179]], dtype=uint8), array([[564]], dtype=uint16), array([[441]], dtype=uint16), array([[61]], dtype=uint8), array(['04267.jpg'], dtype='<U9'))"
4267,"(array([[62]], dtype=uint8), array([[13]], dtype=uint8), array([[666]], dtype=uint16), array([[501]], dtype=uint16), array([[65]], dtype=uint8), array(['04268.jpg'], dtype='<U9'))"
4268,"(array([[39]], dtype=uint8), array([[48]], dtype=uint8), array([[275]], dtype=uint16), array([[180]], dtype=uint8), array([[25]], dtype=uint8), array(['04269.jpg'], dtype='<U9'))"
4269,"(array([[133]], dtype=uint8), array([[51]], dtype=uint8), array([[1081]], dtype=uint16), array([[872]], dtype=uint16), array([[78]], dtype=uint8), array(['04270.jpg'], dtype='<U9'))"
4270,"(array([[8]], dtype=uint8), array([[30]], dtype=uint8), array([[500]], dtype=uint16), array([[325]], dtype=uint16), array([[56]], dtype=uint8), array(['04271.jpg'], dtype='<U9'))"
4271,"(array([[47]], dtype=uint8), array([[113]], dtype=uint8), array([[749]], dtype=uint16), array([[426]], dtype=uint16), array([[189]], dtype=uint8), array(['04272.jpg'], dtype='<U9'))"
4272,"(array([[61]], dtype=uint8), array([[66]], dtype=uint8), array([[999]], dtype=uint16), array([[696]], dtype=uint16), array([[146]], dtype=uint8), array(['04273.jpg'], dtype='<U9'))"
4273,"(array([[114]], dtype=uint8), array([[84]], dtype=uint8), array([[967]], dtype=uint16), array([[684]], dtype=uint16), array([[132]], dtype=uint8), array(['04274.jpg'], dtype='<U9'))"
4274,"(array([[221]], dtype=uint8), array([[577]], dtype=uint16), array([[1736]], dtype=uint16), array([[1340]], dtype=uint16), array([[79]], dtype=uint8), array(['04275.jpg'], dtype='<U9'))"
4275,"(array([[34]], dtype=uint8), array([[90]], dtype=uint8), array([[474]], dtype=uint16), array([[240]], dtype=uint8), array([[179]], dtype=uint8), array(['04276.jpg'], dtype='<U9'))"
4276,"(array([[11]], dtype=uint8), array([[30]], dtype=uint8), array([[402]], dtype=uint16), array([[191]], dtype=uint8), array([[186]], dtype=uint8), array(['04277.jpg'], dtype='<U9'))"
4277,"(array([[177]], dtype=uint8), array([[377]], dtype=uint16), array([[1929]], dtype=uint16), array([[1070]], dtype=uint16), array([[113]], dtype=uint8), array(['04278.jpg'], dtype='<U9'))"
4278,"(array([[1]], dtype=uint8), array([[39]], dtype=uint8), array([[243]], dtype=uint8), array([[135]], dtype=uint8), array([[161]], dtype=uint8), array(['04279.jpg'], dtype='<U9'))"
4279,"(array([[37]], dtype=uint8), array([[72]], dtype=uint8), array([[471]], dtype=uint16), array([[224]], dtype=uint8), array([[59]], dtype=uint8), array(['04280.jpg'], dtype='<U9'))"
4280,"(array([[72]], dtype=uint8), array([[46]], dtype=uint8), array([[261]], dtype=uint16), array([[140]], dtype=uint8), array([[163]], dtype=uint8), array(['04281.jpg'], dtype='<U9'))"
4281,"(array([[346]], dtype=uint16), array([[229]], dtype=uint8), array([[1567]], dtype=uint16), array([[883]], dtype=uint16), array([[173]], dtype=uint8), array(['04282.jpg'], dtype='<U9'))"
